id,name,degree,detail,image,hoverImage,profileUrl
sc0001xu,Scott Cheng,Computer Science '27,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
truong004,Timothy,Mechanical Engineering '28,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
m230060,Wei Ming,Computer Engineering '27,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
tanz0201,Zi Xuan,Computer Science '28,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
giabao001,Bao,Electrical and Electronic Engineering '27,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
haoc0003,Cheng Jing,Electrical and Electronic Engineering '27,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
giaminh002,Gia Minh,Aerospace Engineering '28,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
haiduong001,Trinh Hai Duong (Riley),Electrical and Electronic Engineering '29,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
pchee005,Poh Hian,Robotics Engineering '29,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
soon0076,Isaac,Mechanical Engineering '28,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
11,Gerado,Mechanical Engineering '29,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
12,Add business-operations member 01,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
13,Add business-operations member 02,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
14,Add business-operations member 03,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
15,Add business-operations member 04,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
16,Add business-operations member 05,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
17,Add business-operations member 06,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
18,Add business-operations member 07,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
19,Add business-operations member 08,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
20,Add business-operations member 09,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
21,Add business-operations member 10,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
22,Add business-operations member 11,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
23,Add business-operations member 12,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
24,Add business-operations member 13,Add degree and year,Add a short introduction,/images/team/default.svg,/images/team/hover.svg,https://www.linkedin.com/
